,SigC800,SigBr730,EpsC800,EpsBr730,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,AvgMAPE
3054,0.50728,0.39507,0.86439,2.39404,-10.32404397705545,1.3909416826003818,-4.127748565965582,0.0,-18.67868068833652,-19.394024856596555,-18.620841300191206,-9.75482791586998,-3.6932839388145333,27.06638542910069
3055,0.20728,0.69507,0.37439,1.39404,58.687858508604194,2.559751434034371,-217.20889101338435,0.0,-41.98470363288721,-37.70626195028684,-222.97036328871894,54.536328871892884,-219.11974187380497,145.7756804124572
3056,0.18853,0.37632,0.71126,2.58154,1.1085086042064953,0.07911089866156522,-1.5014340344168284,0.0,-1.2808317399617613,-1.2710325047801176,-2.476577437858514,1.1854684512428248,-1.5272466539196976,3.0321501906633523
3057,0.48853,0.67632,0.22126,1.58154,44.07815487571702,2.414435946462709,-180.50788718929255,0.0,-42.406548757170164,-39.43499043977055,-190.58030592734224,41.01888145315488,-181.9619980879541,130.30667101709366
3058,0.63853,0.22632,0.95626,2.08154,-72.87284894837475,8.267686424474183,-12.755975143403436,0.0,-116.45889101338432,-121.11065965583172,-104.72872848948373,-69.51744741873804,-9.896510516252372,160.0193856530186
3059,0.33853,0.52632,0.46626,1.08154,5.070482791586998,0.27820267686424166,-18.41283460803059,0.0,-4.831811663479924,-4.578943594646274,-20.07201242829828,4.8808317399617565,-18.58205066921606,14.456872640410356
3060,0.41353,0.15132,0.09876,1.33154,-0.051386233269599284,0.1579827915869916,-0.6417304015296372,0.0,-2.5501912045889137,-2.6223709369024877,-2.5705066921606177,0.08962715105162523,-0.6216539196940792,4.354609058321251
3061,0.71353,0.45132,0.58876,2.33154,-163.5109942638623,17.380497131931172,-38.917304015296345,0.0,-245.8857552581262,-256.68188336520075,-222.69909177820264,-156.97657743785848,-32.11281070745695,341.4262719289008
3062,0.56353,0.30132,0.34376,1.83154,-16.166854684512426,1.9576840344168258,-2.9744311663479928,0.0,-26.732796367112808,-27.853016252390056,-24.029904397705543,-15.314823135755256,-2.2989196940726577,37.291724898301574
3063,0.26353,0.60132,0.83376,2.83154,23.15439770554493,0.7975621414913932,-87.80198374760994,0.0,-18.34918738049713,-17.117351816443588,-90.67265774378585,21.836520076481843,-88.64521988527724,61.03140905712496
