,ratio,rndint,kernel,length_scale,nu,alpha,periodicity,mape,r2
237,0.1,297.0,Matern,1.0,1.5,-,-,0.0173018329551059,0.9930386434332744
238,0.1,297.0,RQ,1.0,-,1.0,-,0.0265277273972759,0.9854561621329604
239,0.1,297.0,ESS,1.0,-,-,1.0,0.9718385537152122,-15.069787830180289
240,0.1,721.0,RBF,1.0,-,-,-,0.0269424162710874,0.9675028795768928
241,0.1,721.0,Matern,1.0,1.5,-,-,0.0168939531789539,0.9865145089271176
242,0.1,721.0,RQ,1.0,-,1.0,-,0.0239767844370381,0.9799224933867364
243,0.1,721.0,ESS,1.0,-,-,1.0,1.0,-17.97659560641696
244,0.1,711.0,RBF,1.0,-,-,-,0.0293080319708684,0.9653173334990964
245,0.1,711.0,Matern,1.0,1.5,-,-,0.0171637901014358,0.9876319467424226
246,0.1,711.0,RQ,1.0,-,1.0,-,0.0214184992196881,0.98273098267931
247,0.1,711.0,ESS,1.0,-,-,1.0,1.0,-18.27320183053409
248,0.1,985.0,RBF,1.0,-,-,-,0.9999999999999994,-16.739949050001577
249,0.1,985.0,Matern,1.0,1.5,-,-,0.0186466338307507,0.9874880128850304
250,0.1,985.0,RQ,1.0,-,1.0,-,0.0253649514268195,0.9826823551236054
251,0.1,985.0,ESS,1.0,-,-,1.0,0.0311476984438913,0.9475100439168468
252,0.1,171.0,RBF,1.0,-,-,-,1.0,-15.549074979831495
253,0.1,171.0,Matern,1.0,1.5,-,-,0.0212532456684684,0.9822785118906592
254,0.1,171.0,RQ,1.0,-,1.0,-,0.0275573352845067,0.9773170351233446
255,0.1,171.0,ESS,1.0,-,-,1.0,0.0298479531647463,0.9699672025214354
256,0.1,75.0,RBF,1.0,-,-,-,0.0309505036578517,0.965081551501883
257,0.1,75.0,Matern,1.0,1.5,-,-,0.0172888745195356,0.991208162529716
258,0.1,75.0,RQ,1.0,-,1.0,-,0.0274076952933466,0.984499354633761
259,0.1,75.0,ESS,1.0,-,-,1.0,1.0,-14.685663035685652
260,0.1,16.0,RBF,1.0,-,-,-,0.0333341902776191,0.9613526346109202
261,0.1,16.0,Matern,1.0,1.5,-,-,0.0193735754109906,0.9879458657319472
262,0.1,16.0,RQ,1.0,-,1.0,-,0.0248511259043058,0.983486555343236
263,0.1,16.0,ESS,1.0,-,-,1.0,0.0440715477204239,0.9441441441695392
264,0.1,669.0,RBF,1.0,-,-,-,0.0309114333249983,0.9588091110765904
265,0.1,669.0,Matern,1.0,1.5,-,-,0.0198562391376056,0.9840559453244236
266,0.1,669.0,RQ,1.0,-,1.0,-,0.0253605335973299,0.9789361496448602
267,0.1,669.0,ESS,1.0,-,-,1.0,0.02997217084148,0.962359411313522
268,0.1,530.0,RBF,1.0,-,-,-,0.0293536682853225,0.9740609649217716
269,0.1,530.0,Matern,1.0,1.5,-,-,0.0184280621772968,0.9916200938079214
270,0.1,530.0,RQ,1.0,-,1.0,-,0.0246505919237653,0.9867169483283896
271,0.1,530.0,ESS,1.0,-,-,1.0,0.0234733054772008,0.9860089986204637
272,0.1,999.0,RBF,1.0,-,-,-,0.0292082592019606,0.9752188107287038
273,0.1,999.0,Matern,1.0,1.5,-,-,0.0177831744387458,0.9905390116633208
274,0.1,999.0,RQ,1.0,-,1.0,-,0.0252551880752866,0.9832126477314412
275,0.1,999.0,ESS,1.0,-,-,1.0,0.0288076954048332,0.9746287646059394
276,0.1,794.0,RBF,1.0,-,-,-,1.0,-16.242404250438778
277,0.1,794.0,Matern,1.0,1.5,-,-,0.0200811899806539,0.9859343589330796
278,0.1,794.0,RQ,1.0,-,1.0,-,0.0261982824086477,0.9816895007870886
279,0.1,794.0,ESS,1.0,-,-,1.0,1.0,-16.242404250438778
280,0.1,936.0,RBF,1.0,-,-,-,0.02859891080256,0.9762203415876626
281,0.1,936.0,Matern,1.0,1.5,-,-,0.0171179906423576,0.992707353802778
282,0.1,936.0,RQ,1.0,-,1.0,-,0.0263284153217994,0.9825862075704076
283,0.1,936.0,ESS,1.0,-,-,1.0,0.027292330094193,0.9784629315751582
284,0.1,111.0,RBF,1.0,-,-,-,0.0265486959585616,0.9757798903501362
285,0.1,111.0,Matern,1.0,1.5,-,-,0.0145825594242213,0.9922265431315868
286,0.1,111.0,RQ,1.0,-,1.0,-,0.0206479774523086,0.9869831844601854
287,0.1,111.0,ESS,1.0,-,-,1.0,1.0,-18.84186010175833
288,0.1,816.0,RBF,1.0,-,-,-,0.0266604318960836,0.9740107268955072
289,0.1,816.0,Matern,1.0,1.5,-,-,0.0165002640440915,0.9908850880599572
290,0.1,816.0,RQ,1.0,-,1.0,-,0.0233602192718109,0.9834755968777298
291,0.1,816.0,ESS,1.0,-,-,1.0,0.9904072913986542,-18.37743500962078
292,0.1,968.0,RBF,1.0,-,-,-,0.0309543371339171,0.9745228120592222
293,0.1,968.0,Matern,1.0,1.5,-,-,0.0185603715012733,0.9917501673226378
294,0.1,968.0,RQ,1.0,-,1.0,-,0.024390387165387,0.9869064132184242
295,0.1,968.0,ESS,1.0,-,-,1.0,0.0309543366831371,0.97452281295986
296,0.1,48.0,RBF,1.0,-,-,-,0.0270651812009127,0.9679004634235298
297,0.1,48.0,Matern,1.0,1.5,-,-,0.0168605228811959,0.9888042604949284
298,0.1,48.0,RQ,1.0,-,1.0,-,0.0215687877569309,0.9850913447129532
299,0.1,48.0,ESS,1.0,-,-,1.0,0.0272159271443099,0.9684057220324924
300,0.1,986.0,RBF,1.0,-,-,-,1.0,-14.984062675302573
301,0.1,986.0,Matern,1.0,1.5,-,-,0.0192739505028496,0.9900961662073392
302,0.1,986.0,RQ,1.0,-,1.0,-,0.0283451838345599,0.9814638198114464
303,0.1,986.0,ESS,1.0,-,-,1.0,0.0324232042667481,0.9736711662408204
304,0.1,829.0,RBF,1.0,-,-,-,0.0293280192070581,0.9718776755228984
305,0.1,829.0,Matern,1.0,1.5,-,-,0.0188901574738245,0.9887976260478624
306,0.1,829.0,RQ,1.0,-,1.0,-,0.0252832868063561,0.9824499855995168
307,0.1,829.0,ESS,1.0,-,-,1.0,0.0293279807839097,0.9718777479545322
308,0.1,996.0,RBF,1.0,-,-,-,0.0294326790978867,0.9555197688236612
309,0.1,996.0,Matern,1.0,1.5,-,-,0.0193707302610098,0.9865690942438304
310,0.1,996.0,RQ,1.0,-,1.0,-,0.0292796141499366,0.9782506348751062
311,0.1,996.0,ESS,1.0,-,-,1.0,0.9978680416676587,-15.14354402319206
312,0.1,272.0,RBF,1.0,-,-,-,0.0313025259345078,0.9593168149275504
313,0.1,272.0,Matern,1.0,1.5,-,-,0.0209499889827327,0.9838914538080183
314,0.1,272.0,RQ,1.0,-,1.0,-,0.0261100620209648,0.9764680165867984
315,0.1,272.0,ESS,1.0,-,-,1.0,0.9946785779184506,-19.89373128493542
316,0.1,759.0,RBF,1.0,-,-,-,1.0,-19.703898687112293
317,0.1,759.0,Matern,1.0,1.5,-,-,0.0171402795222391,0.990135447950035
318,0.1,759.0,RQ,1.0,-,1.0,-,0.0242751834854111,0.9826240802310144
319,0.1,759.0,ESS,1.0,-,-,1.0,0.9956283212492114,-19.55857444595524
320,0.1,390.0,RBF,1.0,-,-,-,0.0309683976120254,0.95842101261904
321,0.1,390.0,Matern,1.0,1.5,-,-,0.0181576174452244,0.9893201404055708
322,0.1,390.0,RQ,1.0,-,1.0,-,0.024527321167216,0.9860754834076976
