,ratio,rndint,degree,mape,r2
1900,0.2,725.0,1.0,0.14719448812339417,0.5933982156344615
1901,0.2,725.0,2.0,0.06609966680986927,0.9205762992267814
1902,0.2,725.0,3.0,0.03451052195225826,0.9773598631317505
1903,0.2,725.0,4.0,0.02429432115955695,0.9877318469178319
1904,0.2,725.0,5.0,0.017097671396400692,0.9933449815395494
1905,0.2,725.0,6.0,0.012750932571870092,0.995514061974016
1906,0.2,725.0,7.0,0.015276592357324429,0.9942372686465467
1907,0.2,725.0,8.0,0.015441209192195047,0.9914477190465748
1908,0.2,725.0,9.0,0.017159939561312447,0.9884980631219967
1909,0.2,725.0,10.0,0.02555165286703071,0.9756337828438022
1910,0.2,582.0,1.0,0.15645727107705043,0.56134690275112
1911,0.2,582.0,2.0,0.06726675216534823,0.9182504243389289
1912,0.2,582.0,3.0,0.033566268662280435,0.9773279954162566
1913,0.2,582.0,4.0,0.023827413374847974,0.9883469548542143
1914,0.2,582.0,5.0,0.02474898508484582,0.9863141556815618
1915,0.2,582.0,6.0,0.015062597888138254,0.9946236343748645
1916,0.2,582.0,7.0,0.011408166530979865,0.9965763119492943
1917,0.2,582.0,8.0,0.012757334499928339,0.995833086465434
1918,0.2,582.0,9.0,0.015663491751829777,0.992979454265688
1919,0.2,582.0,10.0,0.02838230197659784,0.9642528130344858
1920,0.2,731.0,1.0,0.1441960846039074,0.5946943908280804
1921,0.2,731.0,2.0,0.07016616931204478,0.9051851636144272
1922,0.2,731.0,3.0,0.03516744834713644,0.9735544636522357
1923,0.2,731.0,4.0,0.024779164987530043,0.986602614430629
1924,0.2,731.0,5.0,0.015608794679782928,0.9933438978446864
1925,0.2,731.0,6.0,0.013583615293274074,0.9944786642940243
1926,0.2,731.0,7.0,0.012377939985014873,0.9944649623681081
1927,0.2,731.0,8.0,0.012694635348778257,0.994074691042607
1928,0.2,731.0,9.0,0.016940808911237587,0.9878073164650764
1929,0.2,731.0,10.0,0.04680931077349983,0.8043337351865707
1930,0.2,249.0,1.0,0.1466525407622491,0.6188902685347805
1931,0.2,249.0,2.0,0.06935326630642867,0.9134850359256361
1932,0.2,249.0,3.0,0.035039535173186365,0.9749065251343214
1933,0.2,249.0,4.0,0.02325332885713164,0.9881832531214013
1934,0.2,249.0,5.0,0.016861379240927857,0.9933233097251916
1935,0.2,249.0,6.0,0.01246863352157657,0.9961292465016077
1936,0.2,249.0,7.0,0.011229609415738532,0.996603969406025
1937,0.2,249.0,8.0,0.012938529246366333,0.9953208386406808
1938,0.2,249.0,9.0,0.01975845550058502,0.9845421437145847
1939,0.2,249.0,10.0,0.02650102393475159,0.9673079515311793
1940,0.2,791.0,1.0,0.15045761911201289,0.5610012056218933
1941,0.2,791.0,2.0,0.06898178477230969,0.9120707320803284
1942,0.2,791.0,3.0,0.031192829245679468,0.9802218667258749
1943,0.2,791.0,4.0,0.02387730115918589,0.9881287408089903
1944,0.2,791.0,5.0,0.016866967936213895,0.9934449954976737
1945,0.2,791.0,6.0,0.012989948144009058,0.995562617894207
1946,0.2,791.0,7.0,0.011844352280298764,0.9960077900405196
1947,0.2,791.0,8.0,0.013429457458721681,0.994642747398067
1948,0.2,791.0,9.0,0.01655595202683472,0.9904557725438884
1949,0.2,791.0,10.0,0.029800848124443228,0.9565119951981614
1950,0.2,35.0,1.0,0.1478053160738211,0.5723965124492832
1951,0.2,35.0,2.0,0.06627846378904648,0.9151605548426575
1952,0.2,35.0,3.0,0.03742631691273211,0.9683073693737128
1953,0.2,35.0,4.0,0.024765450082602863,0.9850455618094889
1954,0.2,35.0,5.0,0.015725006880685677,0.9929601877774934
1955,0.2,35.0,6.0,0.012439598189747048,0.9953166903429022
1956,0.2,35.0,7.0,0.011033887113264602,0.9962730339684469
1957,0.2,35.0,8.0,0.011203124573961921,0.9960938314341519
1958,0.2,35.0,9.0,0.01638132116330096,0.9889059110566912
1959,0.2,35.0,10.0,0.03215271839708707,0.9384098592490878
