,ratio,rndint,kernel,length_scale,nu,alpha,periodicity,mape,r2
222,0.1,951.0,RQ,1.0,-,1.0,-,0.0247692506749711,0.984235676036656
223,0.1,951.0,ESS,1.0,-,-,1.0,0.0220436018289505,0.9838643969702462
224,0.1,490.0,RBF,1.0,-,-,-,0.0284756004182078,0.9539938750527268
225,0.1,490.0,Matern,1.0,1.5,-,-,0.0192166104891839,0.9831837672109882
226,0.1,490.0,RQ,1.0,-,1.0,-,0.0236757676527187,0.979461250964388
227,0.1,490.0,ESS,1.0,-,-,1.0,0.9862292337608684,-18.88482985810545
228,0.1,395.0,RBF,1.0,-,-,-,0.0262586474969039,0.980212281789763
229,0.1,395.0,Matern,1.0,1.5,-,-,0.0194908748539549,0.9896971328605636
230,0.1,395.0,RQ,1.0,-,1.0,-,0.0269964602542927,0.9836850357710952
231,0.1,395.0,ESS,1.0,-,-,1.0,0.0262586344889564,0.9802123001206772
232,0.1,877.0,RBF,1.0,-,-,-,0.0225213738530834,0.9862983391086914
233,0.1,877.0,Matern,1.0,1.5,-,-,0.0171183866913998,0.9932002834380158
234,0.1,877.0,RQ,1.0,-,1.0,-,0.0253967829311521,0.98587372324671
235,0.1,877.0,ESS,1.0,-,-,1.0,0.0223603929962591,0.986542559587558
236,0.1,297.0,RBF,1.0,-,-,-,0.0273127225229362,0.9778597059475362
237,0.1,297.0,Matern,1.0,1.5,-,-,0.0198628518176725,0.9873987531481634
238,0.1,297.0,RQ,1.0,-,1.0,-,0.0263775501040349,0.9808248919360566
239,0.1,297.0,ESS,1.0,-,-,1.0,0.9869181157192544,-16.27169012502681
240,0.1,721.0,RBF,1.0,-,-,-,0.0292236147761339,0.9789114361149306
241,0.1,721.0,Matern,1.0,1.5,-,-,0.0189376201924629,0.9906679078391528
242,0.1,721.0,RQ,1.0,-,1.0,-,0.0303734393927413,0.9813474378525144
243,0.1,721.0,ESS,1.0,-,-,1.0,1.0,-14.191651883853366
244,0.1,711.0,RBF,1.0,-,-,-,0.0271364112055295,0.9735635124534228
245,0.1,711.0,Matern,1.0,1.5,-,-,0.0199084919039319,0.9859512112390236
246,0.1,711.0,RQ,1.0,-,1.0,-,0.0265014876452428,0.9749772780278276
247,0.1,711.0,ESS,1.0,-,-,1.0,0.9913130098615306,-19.353129107454023
248,0.1,985.0,RBF,1.0,-,-,-,0.0210330599962156,0.989403007540934
249,0.1,985.0,Matern,1.0,1.5,-,-,0.0186887239417505,0.9918878577905588
250,0.1,985.0,RQ,1.0,-,1.0,-,0.0213923217519822,0.9885602576581828
251,0.1,985.0,ESS,1.0,-,-,1.0,0.0210328756217169,0.9894031921250006
252,0.1,171.0,RBF,1.0,-,-,-,1.0,-15.206681119958496
253,0.1,171.0,Matern,1.0,1.5,-,-,0.0198385744263782,0.988616935283686
254,0.1,171.0,RQ,1.0,-,1.0,-,0.0293364889480827,0.9798649468828362
255,0.1,171.0,ESS,1.0,-,-,1.0,0.0245975108787203,0.9841342808177754
256,0.1,75.0,RBF,1.0,-,-,-,0.0251177103726496,0.9749258484973752
257,0.1,75.0,Matern,1.0,1.5,-,-,0.0181839345983163,0.9887323981327424
258,0.1,75.0,RQ,1.0,-,1.0,-,0.0218184309448949,0.9849676548392318
259,0.1,75.0,ESS,1.0,-,-,1.0,1.0,-19.912780071850012
260,0.1,16.0,RBF,1.0,-,-,-,0.0232648013074709,0.9871423334393378
261,0.1,16.0,Matern,1.0,1.5,-,-,0.015649303025622,0.9945239112443616
262,0.1,16.0,RQ,1.0,-,1.0,-,0.0274215214429188,0.985592718441003
263,0.1,16.0,ESS,1.0,-,-,1.0,0.0310993587416796,0.9768051252125995
264,0.1,669.0,RBF,1.0,-,-,-,0.0302575250398432,0.9776959381272
265,0.1,669.0,Matern,1.0,1.5,-,-,0.0231215197192037,0.9875699145064756
266,0.1,669.0,RQ,1.0,-,1.0,-,0.0293066965309933,0.980543218711401
267,0.1,669.0,ESS,1.0,-,-,1.0,0.0289504849018526,0.980367234541414
268,0.1,530.0,RBF,1.0,-,-,-,0.0225019096993614,0.9823141266181882
269,0.1,530.0,Matern,1.0,1.5,-,-,0.0174049175415749,0.9907232543392956
270,0.1,530.0,RQ,1.0,-,1.0,-,0.0228760527644347,0.9858164067498452
271,0.1,530.0,ESS,1.0,-,-,1.0,0.0187324656055055,0.9887036036162716
272,0.1,999.0,RBF,1.0,-,-,-,0.0283512049082667,0.9750847055229231
273,0.1,999.0,Matern,1.0,1.5,-,-,0.0197092454615151,0.9895581876812934
274,0.1,999.0,RQ,1.0,-,1.0,-,0.0270025774125328,0.9830541111184532
275,0.1,999.0,ESS,1.0,-,-,1.0,0.026341229261069,0.9801156229246092
276,0.1,794.0,RBF,1.0,-,-,-,1.0,-14.66194907313808
277,0.1,794.0,Matern,1.0,1.5,-,-,0.0175240791889976,0.9921245473159128
278,0.1,794.0,RQ,1.0,-,1.0,-,0.0256737554361338,0.9856190962194212
279,0.1,794.0,ESS,1.0,-,-,1.0,1.0,-14.66194907313808
280,0.1,936.0,RBF,1.0,-,-,-,0.0218509581321348,0.9864696752591252
281,0.1,936.0,Matern,1.0,1.5,-,-,0.017456214339617,0.9920305844921856
282,0.1,936.0,RQ,1.0,-,1.0,-,0.0237960341041856,0.9845451645249186
283,0.1,936.0,ESS,1.0,-,-,1.0,0.0216453142992262,0.9868011845795606
284,0.1,111.0,RBF,1.0,-,-,-,0.0225467248340879,0.9834337697722064
285,0.1,111.0,Matern,1.0,1.5,-,-,0.0183237583385862,0.9898108721961988
286,0.1,111.0,RQ,1.0,-,1.0,-,0.0271067738648842,0.9816668111786788
287,0.1,111.0,ESS,1.0,-,-,1.0,0.9899154872843992,-18.9567615011081
288,0.1,816.0,RBF,1.0,-,-,-,0.0280016498206241,0.977716274300068
289,0.1,816.0,Matern,1.0,1.5,-,-,0.0220020727576597,0.9861452454403106
290,0.1,816.0,RQ,1.0,-,1.0,-,0.029430470520711,0.9792862498149452
291,0.1,816.0,ESS,1.0,-,-,1.0,0.9869947377816566,-14.809149033633869
292,0.1,968.0,RBF,1.0,-,-,-,0.0260340377350783,0.9685727466322104
293,0.1,968.0,Matern,1.0,1.5,-,-,0.0167457516532428,0.9888823816317656
294,0.1,968.0,RQ,1.0,-,1.0,-,0.0237599048420538,0.9826665894146008
295,0.1,968.0,ESS,1.0,-,-,1.0,0.0260340373256813,0.968572747801287
296,0.1,48.0,RBF,1.0,-,-,-,0.0277138802635551,0.979414032077662
297,0.1,48.0,Matern,1.0,1.5,-,-,0.0192471798224166,0.989421653056412
298,0.1,48.0,RQ,1.0,-,1.0,-,0.0272779688323835,0.9817036649341436
299,0.1,48.0,ESS,1.0,-,-,1.0,0.0275611216146873,0.977089055986632
300,0.1,986.0,RBF,1.0,-,-,-,1.0,-16.890461326139466
301,0.1,986.0,Matern,1.0,1.5,-,-,0.0182545335077342,0.9911370201430336
302,0.1,986.0,RQ,1.0,-,1.0,-,0.0277558855963492,0.9801042274845932
303,0.1,986.0,ESS,1.0,-,-,1.0,0.0258271901661662,0.9799633569989564
304,0.1,829.0,RBF,1.0,-,-,-,0.0266418521630021,0.9862587825260716
305,0.1,829.0,Matern,1.0,1.5,-,-,0.0191351254974069,0.992473553046222
306,0.1,829.0,RQ,1.0,-,1.0,-,0.0280819199926321,0.9841778186498568
307,0.1,829.0,ESS,1.0,-,-,1.0,0.0266418169217102,0.986258817641405
308,0.1,996.0,RBF,1.0,-,-,-,0.0284466842351406,0.9676137380074123
309,0.1,996.0,Matern,1.0,1.5,-,-,0.0189600313151449,0.9865476108028444
310,0.1,996.0,RQ,1.0,-,1.0,-,0.0263928018762248,0.9796058212785216
311,0.1,996.0,ESS,1.0,-,-,1.0,0.9977001530222278,-17.15534124984536
312,0.1,272.0,RBF,1.0,-,-,-,0.0254782075874391,0.9651768883473084
313,0.1,272.0,Matern,1.0,1.5,-,-,0.0180192168958236,0.9852987164447098
314,0.1,272.0,RQ,1.0,-,1.0,-,0.0241852038307988,0.9793292051786052
315,0.1,272.0,ESS,1.0,-,-,1.0,0.989965638633242,-18.805376607566597
316,0.1,759.0,RBF,1.0,-,-,-,1.0,-16.55349971246997
317,0.1,759.0,Matern,1.0,1.5,-,-,0.0210455052098888,0.9845556821374803
318,0.1,759.0,RQ,1.0,-,1.0,-,0.0305623232838817,0.9738211765342256
319,0.1,759.0,ESS,1.0,-,-,1.0,0.990447561055005,-16.305899973887925
320,0.1,390.0,RBF,1.0,-,-,-,0.0266171373959064,0.976543149229362
321,0.1,390.0,Matern,1.0,1.5,-,-,0.016531071810398,0.9904594354243116
